# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.1 Build 166 11/26/2013 SJ Full Version
# File: E:\System_Design\test_run_library\testi\TUNI.fi\product\Kvazaar.IP-acc.Camera\1.0\cyclone_v_pins.csv
# Generated on: Fri Mar 11 14:20:25 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Fitter Location,Direction,Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,I/O Bank,VREF Group,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
CAMERA_FVAL,PIN_E8,Input,PIN_E8,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_LVAL,PIN_D7,Input,PIN_D7,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_PIXCLK,PIN_AG2,Input,PIN_AG2,,,,,,3A,B3A_N0,,,,,,,,
CAMERA_RESET_n,PIN_E4,Output,PIN_E4,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_SCLK,PIN_AF9,Output,PIN_AF9,,,,,,3A,B3A_N0,,,,,,,,
CAMERA_SDATA,PIN_AG7,Bidir,PIN_AG7,,,,,,3A,B3A_N0,,,,,,,,
CAMERA_TRIGGER,PIN_C5,Output,PIN_C5,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_XCLKIN,PIN_AJ2,Output,PIN_AJ2,,,,,,3A,B3A_N0,,,,,,,,
can_0_rx,PIN_B22,Input,PIN_B22,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
can_0_tx,PIN_G22,Output,PIN_G22,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
clk_50m_fpga,PIN_AC18,Input,PIN_AC18,1.5 V,,,,,4A,B4A_N0,,,,,,,,
ddr3_hps_a[14],PIN_H25,Output,PIN_H25,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[13],PIN_C29,Output,PIN_C29,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[12],PIN_B30,Output,PIN_B30,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[11],PIN_C30,Output,PIN_C30,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[10],PIN_D29,Output,PIN_D29,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[9],PIN_G26,Output,PIN_G26,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[8],PIN_H27,Output,PIN_H27,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[7],PIN_E28,Output,PIN_E28,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[6],PIN_F29,Output,PIN_F29,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[5],PIN_J27,Output,PIN_J27,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[4],PIN_J25,Output,PIN_J25,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[3],PIN_F30,Output,PIN_F30,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[2],PIN_F28,Output,PIN_F28,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[1],PIN_G30,Output,PIN_G30,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_a[0],PIN_F26,Output,PIN_F26,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_ba[2],PIN_J23,Output,PIN_J23,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_ba[1],PIN_J24,Output,PIN_J24,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_ba[0],PIN_E29,Output,PIN_E29,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_casn,PIN_E27,Output,PIN_E27,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_cke,PIN_L29,Output,PIN_L29,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_clk_n,PIN_L23,Output,PIN_L23,Differential 1.5-V SSTL Class I,,,,ddr3_hps_clk_p,6A,B6A_N0,,,,,,,,
ddr3_hps_clk_p,PIN_M23,Output,PIN_M23,Differential 1.5-V SSTL Class I,,,,ddr3_hps_clk_n,6A,B6A_N0,,,,,,,,
ddr3_hps_csn,PIN_H24,Output,PIN_H24,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dm[4],PIN_W27,Output,PIN_W27,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dm[3],PIN_W30,Output,PIN_W30,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dm[2],PIN_R28,Output,PIN_R28,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dm[1],PIN_M28,Output,PIN_M28,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dm[0],PIN_K28,Output,PIN_K28,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[39],PIN_Y29,Bidir,PIN_Y29,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[38],PIN_V27,Bidir,PIN_V27,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[37],PIN_U25,Bidir,PIN_U25,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[36],PIN_T25,Bidir,PIN_T25,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[35],PIN_V28,Bidir,PIN_V28,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[34],PIN_U27,Bidir,PIN_U27,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[33],PIN_R24,Bidir,PIN_R24,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[32],PIN_W26,Bidir,PIN_W26,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[31],PIN_W29,Bidir,PIN_W29,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[30],PIN_V30,Bidir,PIN_V30,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[29],PIN_R26,Bidir,PIN_R26,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[28],PIN_R27,Bidir,PIN_R27,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[27],PIN_T28,Bidir,PIN_T28,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[26],PIN_T29,Bidir,PIN_T29,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[25],PIN_P25,Bidir,PIN_P25,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[24],PIN_P24,Bidir,PIN_P24,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[23],PIN_R29,Bidir,PIN_R29,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[22],PIN_N27,Bidir,PIN_N27,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[21],PIN_P27,Bidir,PIN_P27,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[20],PIN_P26,Bidir,PIN_P26,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[19],PIN_N28,Bidir,PIN_N28,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[18],PIN_N29,Bidir,PIN_N29,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[17],PIN_T26,Bidir,PIN_T26,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[16],PIN_U26,Bidir,PIN_U26,SSTL-15 Class I,,,,,6B,B6B_N0,,,,,,,,
ddr3_hps_dq[15],PIN_M30,Bidir,PIN_M30,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[14],PIN_L28,Bidir,PIN_L28,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[13],PIN_M27,Bidir,PIN_M27,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[12],PIN_M26,Bidir,PIN_M26,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[11],PIN_K27,Bidir,PIN_K27,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[10],PIN_K29,Bidir,PIN_K29,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[9],PIN_L26,Bidir,PIN_L26,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[8],PIN_K26,Bidir,PIN_K26,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[7],PIN_J29,Bidir,PIN_J29,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[6],PIN_J30,Bidir,PIN_J30,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[5],PIN_L24,Bidir,PIN_L24,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[4],PIN_L25,Bidir,PIN_L25,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[3],PIN_G28,Bidir,PIN_G28,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[2],PIN_H30,Bidir,PIN_H30,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[1],PIN_K22,Bidir,PIN_K22,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dq[0],PIN_K23,Bidir,PIN_K23,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_dqs_n[4],PIN_T23,Bidir,PIN_T23,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_n[4](n),6B,B6B_N0,,,,,,,,
ddr3_hps_dqs_n[3],PIN_R21,Bidir,PIN_R21,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_n[3](n),6B,B6B_N0,,,,,,,,
ddr3_hps_dqs_n[2],PIN_R18,Bidir,PIN_R18,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_n[2](n),6B,B6B_N0,,,,,,,,
ddr3_hps_dqs_n[1],PIN_N24,Bidir,PIN_N24,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_n[1](n),6A,B6A_N0,,,,,,,,
ddr3_hps_dqs_n[0],PIN_M19,Bidir,PIN_M19,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_n[0](n),6A,B6A_N0,,,,,,,,
ddr3_hps_dqs_n[0](n),,Bidir,,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_n[0],,,,,,,,,,
ddr3_hps_dqs_n[1](n),,Bidir,,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_n[1],,,,,,,,,,
ddr3_hps_dqs_n[2](n),,Bidir,,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_n[2],,,,,,,,,,
ddr3_hps_dqs_n[3](n),,Bidir,,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_n[3],,,,,,,,,,
ddr3_hps_dqs_n[4](n),,Bidir,,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_n[4],,,,,,,,,,
ddr3_hps_dqs_p[4],PIN_T24,Bidir,PIN_T24,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_p[4](n),6B,B6B_N0,,,,,,,,
ddr3_hps_dqs_p[3],PIN_R22,Bidir,PIN_R22,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_p[3](n),6B,B6B_N0,,,,,,,,
ddr3_hps_dqs_p[2],PIN_R19,Bidir,PIN_R19,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_p[2](n),6B,B6B_N0,,,,,,,,
ddr3_hps_dqs_p[1],PIN_N25,Bidir,PIN_N25,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_p[1](n),6A,B6A_N0,,,,,,,,
ddr3_hps_dqs_p[0],PIN_N18,Bidir,PIN_N18,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_p[0](n),6A,B6A_N0,,,,,,,,
ddr3_hps_dqs_p[0](n),,Bidir,,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_p[0],,,,,,,,,,
ddr3_hps_dqs_p[1](n),,Bidir,,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_p[1],,,,,,,,,,
ddr3_hps_dqs_p[2](n),,Bidir,,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_p[2],,,,,,,,,,
ddr3_hps_dqs_p[3](n),,Bidir,,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_p[3],,,,,,,,,,
ddr3_hps_dqs_p[4](n),,Bidir,,Differential 1.5-V SSTL Class I,,,,ddr3_hps_dqs_p[4],,,,,,,,,,
ddr3_hps_odt,PIN_H28,Output,PIN_H28,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_rasn,PIN_D30,Output,PIN_D30,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
ddr3_hps_resetn,PIN_P30,Output,PIN_P30,SSTL-15 Class I,,Maximum Current,,,6B,B6B_N0,,,,,,,,
ddr3_hps_rzq,PIN_D27,Input,PIN_D27,SSTL-15 Class I,,,,,6A,B6A_N0,,,,,,,,
ddr3_hps_wen,PIN_C28,Output,PIN_C28,SSTL-15 Class I,,Maximum Current,,,6A,B6A_N0,,,,,,,,
enet_hps_gtx_clk,PIN_H19,Output,PIN_H19,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_intn,PIN_C19,Bidir,PIN_C19,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_mdc,PIN_B21,Output,PIN_B21,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_mdio,PIN_E21,Bidir,PIN_E21,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_rx_clk,PIN_G20,Input,PIN_G20,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_rx_dv,PIN_K17,Input,PIN_K17,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_rxd[3],PIN_D21,Input,PIN_D21,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_rxd[2],PIN_B18,Input,PIN_B18,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_rxd[1],PIN_B20,Input,PIN_B20,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_rxd[0],PIN_A21,Input,PIN_A21,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_tx_en,PIN_A20,Output,PIN_A20,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_txd[3],PIN_F19,Output,PIN_F19,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_txd[2],PIN_F21,Output,PIN_F21,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_txd[1],PIN_J19,Output,PIN_J19,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
enet_hps_txd[0],PIN_F20,Output,PIN_F20,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
gpio09,PIN_B15,Bidir,PIN_B15,3.3-V LVCMOS,,Maximum Current,,,7D,B7A7B7C7D_N0,,,,,,,,
i2c_scl_hps,PIN_D22,Bidir,PIN_D22,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
i2c_sda_hps,PIN_C23,Bidir,PIN_C23,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
LCD_B[7],PIN_F9,Output,PIN_F9,,,,,,8A,B8A_N0,,,,,,,,
LCD_B[6],PIN_F8,Output,PIN_F8,,,,,,8A,B8A_N0,,,,,,,,
LCD_B[5],PIN_F11,Output,PIN_F11,,,,,,8A,B8A_N0,,,,,,,,
LCD_B[4],PIN_E11,Output,PIN_E11,,,,,,8A,B8A_N0,,,,,,,,
LCD_B[3],PIN_A4,Output,PIN_A4,,,,,,8A,B8A_N0,,,,,,,,
LCD_B[2],PIN_A3,Output,PIN_A3,,,,,,8A,B8A_N0,,,,,,,,
LCD_B[1],PIN_D5,Output,PIN_D5,,,,,,8A,B8A_N0,,,,,,,,
LCD_B[0],PIN_C4,Output,PIN_C4,,,,,,8A,B8A_N0,,,,,,,,
LCD_DCLK,PIN_E6,Output,PIN_E6,,,,,,8A,B8A_N0,,,,,,,,
LCD_DIM,PIN_F13,Output,PIN_F13,,,,,,8A,B8A_N0,,,,,,,,
LCD_G[7],PIN_B6,Output,PIN_B6,,,,,,8A,B8A_N0,,,,,,,,
LCD_G[6],PIN_B5,Output,PIN_B5,,,,,,8A,B8A_N0,,,,,,,,
LCD_G[5],PIN_E9,Output,PIN_E9,,,,,,8A,B8A_N0,,,,,,,,
LCD_G[4],PIN_D9,Output,PIN_D9,,,,,,8A,B8A_N0,,,,,,,,
LCD_G[3],PIN_D11,Output,PIN_D11,,,,,,8A,B8A_N0,,,,,,,,
LCD_G[2],PIN_D10,Output,PIN_D10,,,,,,8A,B8A_N0,,,,,,,,
LCD_G[1],PIN_E12,Output,PIN_E12,,,,,,8A,B8A_N0,,,,,,,,
LCD_G[0],PIN_D12,Output,PIN_D12,,,,,,8A,B8A_N0,,,,,,,,
LCD_HSD,PIN_C12,Output,PIN_C12,,,,,,8A,B8A_N0,,,,,,,,
LCD_MODE,PIN_G8,Output,PIN_G8,,,,,,8A,B8A_N0,,,,,,,,
LCD_POWER_CTL,PIN_G10,Output,PIN_G10,,,,,,8A,B8A_N0,,,,,,,,
LCD_R[7],PIN_A9,Output,PIN_A9,,,,,,8A,B8A_N0,,,,,,,,
LCD_R[6],PIN_A8,Output,PIN_A8,,,,,,8A,B8A_N0,,,,,,,,
LCD_R[5],PIN_C8,Output,PIN_C8,,,,,,8A,B8A_N0,,,,,,,,
LCD_R[4],PIN_B8,Output,PIN_B8,,,,,,8A,B8A_N0,,,,,,,,
LCD_R[3],PIN_C10,Output,PIN_C10,,,,,,8A,B8A_N0,,,,,,,,
LCD_R[2],PIN_C9,Output,PIN_C9,,,,,,8A,B8A_N0,,,,,,,,
LCD_R[1],PIN_B13,Output,PIN_B13,,,,,,8A,B8A_N0,,,,,,,,
LCD_R[0],PIN_A13,Output,PIN_A13,,,,,,8A,B8A_N0,,,,,,,,
LCD_RSTB,PIN_B1,Output,PIN_B1,,,,,,8A,B8A_N0,,,,,,,,
LCD_SHLR,PIN_B3,Output,PIN_B3,,,,,,8A,B8A_N0,,,,,,,,
LCD_UPDN,PIN_B2,Output,PIN_B2,,,,,,8A,B8A_N0,,,,,,,,
LCD_VSD,PIN_B11,Output,PIN_B11,,,,,,8A,B8A_N0,,,,,,,,
qspi_clk,PIN_D19,Output,PIN_D19,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
qspi_io[3],PIN_E19,Bidir,PIN_E19,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
qspi_io[2],PIN_A19,Bidir,PIN_A19,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
qspi_io[1],PIN_H18,Bidir,PIN_H18,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
qspi_io[0],PIN_C20,Bidir,PIN_C20,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
qspi_ss0,PIN_A18,Output,PIN_A18,3.3-V LVCMOS,,,,,7B,B7A7B7C7D_N0,,,,,,,,
sd_clk,PIN_A16,Output,PIN_A16,3.3-V LVCMOS,,,,,7C,B7A7B7C7D_N0,,,,,,,,
sd_cmd,PIN_F18,Bidir,PIN_F18,3.3-V LVCMOS,,,,,7C,B7A7B7C7D_N0,,,,,,,,
sd_dat[3],PIN_B16,Bidir,PIN_B16,3.3-V LVCMOS,,,,,7C,B7A7B7C7D_N0,,,,,,,,
sd_dat[2],PIN_D17,Bidir,PIN_D17,3.3-V LVCMOS,,,,,7C,B7A7B7C7D_N0,,,,,,,,
sd_dat[1],PIN_C17,Bidir,PIN_C17,3.3-V LVCMOS,,,,,7C,B7A7B7C7D_N0,,,,,,,,
sd_dat[0],PIN_G18,Bidir,PIN_G18,3.3-V LVCMOS,,,,,7C,B7A7B7C7D_N0,,,,,,,,
spi_csn,PIN_H20,Output,PIN_H20,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
spi_miso,PIN_B23,Input,PIN_B23,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
spi_mosi,PIN_C22,Output,PIN_C22,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
spi_sck,PIN_A23,Output,PIN_A23,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
trace_clk_mic,PIN_B26,Output,PIN_B26,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
trace_data[7],PIN_E23,Output,PIN_E23,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
trace_data[6],PIN_C24,Output,PIN_C24,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
trace_data[5],PIN_G21,Output,PIN_G21,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
trace_data[4],PIN_A24,Output,PIN_A24,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
trace_data[3],PIN_H23,Output,PIN_H23,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
trace_data[2],PIN_A25,Output,PIN_A25,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
trace_data[1],PIN_C25,Output,PIN_C25,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
trace_data[0],PIN_B25,Output,PIN_B25,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
uart_rx,PIN_E24,Input,PIN_E24,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
uart_tx,PIN_D24,Output,PIN_D24,3.3-V LVCMOS,,,,,7A,B7A7B7C7D_N0,,,,,,,,
usb_clk,PIN_N16,Input,PIN_N16,3.3-V LVCMOS,,,,,7D,B7A7B7C7D_N0,,,,,,,,
usb_data[7],PIN_M17,Bidir,PIN_M17,3.3-V LVCMOS,,,,,7D,B7A7B7C7D_N0,,,,,,,,
usb_data[6],PIN_D15,Bidir,PIN_D15,3.3-V LVCMOS,,,,,7D,B7A7B7C7D_N0,,,,,,,,
usb_data[5],PIN_C14,Bidir,PIN_C14,3.3-V LVCMOS,,,,,7D,B7A7B7C7D_N0,,,,,,,,
usb_data[4],PIN_A15,Bidir,PIN_A15,3.3-V LVCMOS,,,,,7D,B7A7B7C7D_N0,,,,,,,,
usb_data[3],PIN_D14,Bidir,PIN_D14,3.3-V LVCMOS,,,,,7D,B7A7B7C7D_N0,,,,,,,,
usb_data[2],PIN_D16,Bidir,PIN_D16,3.3-V LVCMOS,,,,,7D,B7A7B7C7D_N0,,,,,,,,
